BOROUGH,ADDRESS,ZIP,# of Tanks,INSPECTION_DATE,INTERNAL_STRUCTURE,EXTERNAL_STRUCTURE,SEDIMENT,BIOLOGICAL_GROWTH,DEBRIS_INSECTS,RODENT_BIRD,COLIFORM,ECOLI,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT
MANHATTAN,1220 Fifth Avenue,10029,1,5/5/21,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.792438,-73.952448,11,8,168
MANHATTAN,100 Centre street,10013,2,11/28/23,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.716084,-74.001425,1,1,29
MANHATTAN,47 East 88th Street,10128,1,4/20/21,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.78198,-73.95741,8,4,15002
MANHATTAN,125 worth street,10013,1,12/19/20,Violation,Meets standards,Violation,Violation,Violation,Meets standards,Meets standards,Meets standards,40.715428,-74.002673,1,1,31
MANHATTAN,31 Chambers street,10007,1,11/21/20,Violation,Violation,Violation,Violation,Violation,Meets standards,Meets standards,Meets standards,40.713402,-74.004635,1,1,31
MANHATTAN,301 East 66th Street,10065,1,3/11/21,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.764846,-73.960789,8,5,118
MANHATTAN,455 East 57th Street,10022,1,10/21/20,Meets standards,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.757809,-73.961713,6,5,10601
BROOKLYN,138 Willoughby Street,11201,5,6/20/22,Meets standards,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.692069,-73.983135,2,33,15
MANHATTAN,1 centre street,10007,4,4/26/22,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.713001,-74.004181,1,1,29
BRONX,851 Grand Concourse,10451,2,11/21/20,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.826048,-73.923102,4,8,63
BROOKLYN,45 monroe place,11201,1,11/28/21,Violation,Meets standards,Violation,Violation,Meets standards,Meets standards,,,40.695822,-73.992802,2,33,502
MANHATTAN,4 Irving Place,10003,2,2/27/24,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.734163,-73.988627,6,2,50
MANHATTAN,1220 Fifth Avenue,10029,1,5/5/21,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.792438,-73.952448,11,8,168
MANHATTAN,25 West 32 Street,10001,1,10/5/21,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.747535,-73.986372,5,4,76
BRONX,1420 Wood Road,10462,1,11/3/20,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.835886,-73.862277,9,18,21602
BRONX,265 east 161 street,10451,1,12/15/22,Violation,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.825928,-73.919514,4,16,18302
MANHATTAN,140 East 72nd Street,10021,1,3/31/21,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.770533,-73.962493,8,4,128
MANHATTAN,1 Centre street,10007,1,11/28/23,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.713001,-74.004181,1,1,29
MANHATTAN,225 Broadway,10007,1,10/11/21,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.71187,-74.008217,1,1,21
MANHATTAN,1 Centre street,10007,2,11/20/24,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.713001,-74.004181,1,1,29
