,BOROUGH,ADDRESS,ZIP,TANK_NUM,INSPECTION_DATE,INTERNAL_STRUCTURE,EXTERNAL_STRUCTURE,SEDIMENT,BIOLOGICAL_GROWTH,DEBRIS_INSECTS,RODENT_BIRD,COLIFORM,ECOLI,MEET_STANDARDS,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT
0,MANHATTAN,230 West 105th Street,10025.0,1,2020-07-31 00:00:00,N,N,N,N,N,N,N,N,,40.800247,-73.967377,7.0,7.0,191.0
1,MANHATTAN,124 West 79th Street,10024.0,1,2023-10-16 00:00:00,N,N,N,N,N,N,N,N,,40.782329,-73.976403,7.0,6.0,165.0
2,MANHATTAN,50 WEST   17 STREET,10011.0,1,2020-06-06 00:00:00,N,N,N,N,N,N,N,N,Y,40.738585,-73.99384,5.0,3.0,54.0
3,MANHATTAN,25 East 86th Street,10028.0,1,2023-09-28 00:00:00,N,N,N,N,N,N,N,N,,40.781102,-73.959378,8.0,4.0,15002.0
4,MANHATTAN,695 Park Avenue,10065.0,3,2022-06-16 00:00:00,N,N,N,N,N,N,N,N,,40.768973,-73.965367,8.0,4.0,120.0
5,MANHATTAN,505 5th Avenue,10017.0,2,2022-11-12 00:00:00,N,N,N,N,N,N,N,N,,40.753663,-73.980744,5.0,4.0,94.0
6,MANHATTAN,321 East 44th Street,10017.0,1,2023-12-08 00:00:00,N,N,N,N,N,N,N,N,,40.750878,-73.970675,6.0,4.0,90.0
7,BROOKLYN,101 Johnson Street,11201.0,2,2021-08-11 00:00:00,N,N,N,N,N,N,N,N,,40.69494,-73.986387,2.0,33.0,13.0
8,BROOKLYN,215 Cozine Avenue,11207.0,2,2020-09-14 00:00:00,N,N,N,N,N,N,N,N,Y,40.655517,-73.884151,5.0,42.0,1106.0
9,MANHATTAN,325 North End Avenue,10282.0,2,2021-09-01 00:00:00,N,N,N,N,N,N,N,N,,40.716637,-74.014754,1.0,1.0,31703.0
10,MANHATTAN,250 Broadway,10007.0,2,2021-02-20 00:00:00,N,N,N,N,N,N,N,N,,40.712982,-74.007301,1.0,1.0,21.0
11,BRONX,3220 Fairfield Avenue,10463.0,1,2020-12-30 00:00:00,N,N,N,N,N,N,N,N,,40.884844,-73.913472,8.0,11.0,297.0
12,MANHATTAN,540 Main Street,10044.0,1,2024-11-13 00:00:00,N,N,N,N,N,N,N,N,,40.761608,-73.94986,8.0,5.0,23801.0
13,MANHATTAN,99 Madison Avenue,10016.0,1,2022-12-10 00:00:00,N,N,N,N,N,N,N,N,,40.74476,-73.985135,5.0,2.0,74.0
14,MANHATTAN,160 Madison Street,10002.0,1,2023-06-05 00:00:00,N,N,N,N,N,N,N,N,,40.712488,-73.991924,3.0,1.0,6.0
15,MANHATTAN,1407 Broadway,10018.0,1,2021-03-17 00:00:00,N,N,N,N,N,N,N,N,,40.753439,-73.987151,5.0,3.0,113.0
16,MANHATTAN,845 Second Avenue,10017.0,1,2022-12-05 00:00:00,N,N,N,N,N,N,N,N,,40.751902,-73.970704,6.0,4.0,90.0
17,MANHATTAN,2 BEEKMAN PLACE,10022.0,1,2021-10-19 00:00:00,N,N,N,N,N,N,N,N,,40.75288,-73.965152,6.0,4.0,8603.0
18,MANHATTAN,620 EIGHTH AVENUE,10018.0,1,2021-04-13 00:00:00,N,N,N,N,N,N,N,N,,40.756039,-73.990651,5.0,3.0,113.0
19,BROOKLYN,135 Eastern Parkway,11238.0,1,2024-06-26 00:00:00,N,N,N,N,N,N,N,N,,40.672162,-73.964289,8.0,35.0,215.0
20,MANHATTAN,331 East 70th Street,10021.0,1,2021-08-13 00:00:00,N,N,A,N,N,N,N,N,,40.766925,-73.95795,8.0,5.0,126.0
21,BRONX,1889 Sedgwick Avenue,10453.0,1,2020-09-11 00:00:00,N,N,N,N,N,N,N,N,,40.854224,-73.917347,5.0,16.0,247.0
22,MANHATTAN,45708 TUDOR CITY PLACE,10017.0,2,2023-02-15 00:00:00,N,N,N,N,N,N,N,N,,40.747985,-73.971265,6.0,4.0,88.0
23,MANHATTAN,286 Madison Avenue,10017.0,2,2023-12-17 00:00:00,N,N,N,N,N,N,N,N,,40.751728,-73.980084,5.0,4.0,82.0
24,QUEENS,61-25 98th Street,11374.0,1,2023-04-12 00:00:00,N,N,N,N,N,N,N,N,,40.734257,-73.860517,6.0,29.0,71702.0
25,MANHATTAN,266 East 78 Street,10075.0,1,2022-08-11 00:00:00,N,N,N,N,N,N,N,N,,40.773007,-73.956404,8.0,4.0,134.0
26,MANHATTAN,333 EAST   30 STREET,10016.0,1,2020-10-28 00:00:00,N,N,N,N,N,N,N,N,Y,40.741734,-73.976403,6.0,2.0,70.0
27,MANHATTAN,400 West 113th Street,10025.0,1,2021-12-02 00:00:00,N,N,N,N,N,N,N,N,,40.804117,-73.960646,9.0,7.0,19701.0
28,MANHATTAN,40 East 78th Street,10075.0,1,2024-05-17 00:00:00,N,N,N,N,N,N,N,N,,40.775496,-73.962306,8.0,4.0,142.0
