Residual Free Chlorine (mg/L),Sample Date
2.2,11/2/16
1.8,10/24/15
1.46,9/29/15
1.42,10/2/15
1.35,9/7/15
1.29,10/17/18
1.28,8/26/15
1.27,1/5/16
1.27,8/23/24
1.26,9/28/15
1.26,4/29/17
1.25,4/28/21
1.24,9/6/15
1.24,8/7/20
1.24,9/4/15
1.23,9/28/23
1.23,8/19/15
1.23,11/27/18
1.23,9/25/17
1.23,7/27/15
1.22,8/7/15
1.22,8/5/15
1.22,10/12/22
1.21,5/15/15
1.21,8/27/24
1.21,12/2/24
1.21,10/10/18
1.21,7/29/20
1.21,9/27/15
1.21,10/23/18
1.21,7/28/20
1.21,8/10/15
1.21,11/29/19
1.2,8/12/15
1.2,6/4/15
1.2,8/27/20
1.19,8/12/24
1.19,9/13/24
1.19,9/30/15
1.19,9/2/15
1.19,11/25/18
1.19,9/20/20
1.19,9/2/20
1.19,10/1/15
1.19,7/20/20
1.18,9/18/20
1.18,8/14/20
1.18,8/6/20
1.18,8/8/20
1.18,10/4/20
1.18,8/20/15
1.18,11/30/19
1.18,7/24/20
1.18,10/24/21
1.18,9/5/15
1.18,7/2/15
1.18,8/17/15
1.17,11/29/18
1.17,9/11/24
1.17,11/25/18
1.17,7/22/20
1.17,8/19/20
1.17,10/19/20
1.17,7/6/18
1.17,10/3/15
1.17,10/3/18
1.17,7/26/20
1.17,7/27/20
1.17,9/14/15
1.17,10/5/16
1.17,9/5/15
1.17,10/3/22
1.16,9/4/24
1.16,9/5/24
1.16,8/21/24
1.16,8/11/24
1.16,8/31/15
1.16,8/23/15
1.16,10/22/15
1.16,8/5/20
1.16,8/24/20
1.16,10/18/20
1.16,8/11/15
1.16,9/19/20
1.16,8/25/16
1.16,10/30/16
1.16,5/3/17
1.16,10/21/21
1.16,5/1/17
1.16,7/21/18
1.16,4/4/21
1.16,7/13/15
1.16,10/26/15
1.15,11/10/18
1.15,10/29/18
1.15,9/8/20
1.15,9/12/24
1.15,8/30/15
1.15,9/16/24
1.15,11/24/18
1.15,7/30/20
1.15,8/13/20
1.15,10/15/20
1.15,7/10/21
1.15,9/10/21
1.15,11/8/15
1.15,9/16/19
1.15,7/19/20
1.15,9/1/20
1.15,12/3/18
1.15,9/29/16
1.15,10/25/15
1.15,3/8/17
1.15,8/18/17
1.14,11/13/18
1.14,9/3/24
1.14,1/6/16
1.14,11/21/18
1.14,8/31/20
1.14,8/16/24
1.14,8/22/24
1.14,11/27/15
1.14,11/14/18
1.14,8/14/24
1.14,8/17/24
1.14,8/23/15
1.14,12/15/17
1.14,9/18/18
1.14,11/11/18
1.14,11/26/18
1.14,12/7/18
1.14,9/25/15
1.14,12/1/18
1.14,9/11/21
1.14,10/22/18
1.14,9/16/20
1.14,10/1/21
1.14,12/6/22
1.14,12/2/18
1.14,9/12/21
1.14,9/24/15
1.14,7/5/15
1.14,10/15/22
1.13,10/28/18
1.13,8/26/24
1.13,12/20/18
1.13,6/20/24
1.13,9/30/18
1.13,5/27/20
1.13,8/29/20
1.13,9/8/24
1.13,9/23/15
1.13,11/26/18
1.13,8/6/20
1.13,8/10/20
1.13,9/5/20
1.13,8/9/15
1.13,10/24/18
1.13,8/22/20
1.13,8/29/15
1.13,9/12/15
1.13,8/23/16
1.13,10/31/16
1.13,10/22/17
1.13,11/20/18
1.13,8/17/19
1.13,8/18/20
1.13,9/30/21
1.13,9/15/19
1.13,7/23/20
1.13,6/23/21
1.13,12/4/19
1.13,11/5/15
1.12,8/29/24
1.12,8/15/24
1.12,8/24/24
1.12,8/13/24
1.12,9/24/24
1.12,8/28/18
1.12,9/17/20
1.12,8/6/15
1.12,8/16/15
1.12,9/26/18
1.12,10/11/18
1.12,9/12/20
1.12,8/2/24
1.12,9/10/24
1.12,9/18/15
1.12,9/26/15
1.12,10/29/16
1.12,10/25/16
1.12,11/15/17
1.12,10/3/18
1.12,12/3/19
1.12,8/14/15
1.12,9/7/15
1.12,11/1/15
1.12,11/13/17
1.12,11/30/18
1.12,7/6/15
1.12,11/28/17
1.12,7/26/19
1.12,8/24/15
1.12,9/14/15
1.12,7/9/15
1.12,10/16/22
1.12,10/18/23
1.12,10/9/22
1.12,12/19/17
1.11,8/19/24
1.11,11/19/15
1.11,9/9/20
1.11,6/29/24
1.11,9/23/15
1.11,10/5/15
1.11,9/21/20
1.11,9/29/15
1.11,8/3/16
1.11,10/18/17
1.11,7/30/18
1.11,10/3/18
1.11,7/5/20
1.11,8/15/20
1.11,8/19/21
1.11,8/6/16
1.11,12/4/18
1.11,9/9/19
1.11,8/8/20
1.11,9/27/23
1.11,7/20/15
1.11,9/4/15
1.11,10/24/15
1.11,6/18/16
1.11,10/10/16
1.11,12/2/17
1.11,9/30/19
1.11,7/17/15
1.11,10/20/16
1.11,9/13/19
1.11,11/18/19
1.11,9/22/21
1.11,8/20/15
1.11,10/29/15
1.11,9/10/22
1.11,7/16/15
1.11,7/23/15
1.11,9/11/22
1.11,10/10/22
1.1,7/26/24
1.1,11/15/15
1.1,12/3/15
1.1,8/18/24
1.1,11/23/18
1.1,9/13/20
1.1,10/7/17
1.1,10/19/18
1.1,7/13/20
1.1,10/11/20
1.1,7/3/21
1.1,8/28/15
1.1,9/21/15
1.1,8/13/18
1.1,6/15/19
1.1,8/9/20
1.1,8/10/20
1.1,8/26/20
1.1,9/7/20
1.1,9/26/23
1.1,7/14/15
1.1,10/3/15
1.1,10/3/15
1.1,10/4/15
1.1,11/16/17
1.1,8/24/18
1.1,8/23/20
1.1,12/8/20
1.1,10/5/21
1.1,10/28/15
1.1,8/17/17
1.1,8/30/18
1.1,8/11/19
1.1,8/14/19
1.1,9/3/19
1.1,7/21/20
1.1,7/25/19
1.1,7/27/19
1.1,8/16/20
1.1,6/22/21
1.1,9/7/21
1.1,9/2/22
1.1,9/13/21
1.1,8/14/15
1.1,7/8/15
1.1,7/26/15
1.09,7/15/24
1.09,7/24/24
1.09,5/9/15
1.09,10/24/24
1.09,11/25/15
1.09,10/19/17
1.09,8/25/20
1.09,8/10/24
1.09,9/30/24
1.09,6/17/24
1.09,1/16/17
1.09,12/18/17
1.09,9/14/18
1.09,10/10/18
1.09,8/15/15
1.09,9/17/15
1.09,11/7/16
1.09,9/16/18
1.09,10/15/18
1.09,7/18/20
1.09,8/21/20
1.09,9/28/15
1.09,10/4/15
1.09,11/27/15
1.09,5/3/17
1.09,11/25/17
1.09,12/11/17
1.09,4/30/18
1.09,9/24/18
1.09,8/7/19
1.09,10/28/19
1.09,4/27/20
1.09,9/15/20
1.09,10/24/16
1.09,7/14/18
1.09,6/8/19
1.09,10/29/19
1.09,7/31/20
1.09,9/8/21
1.09,7/10/15
1.09,11/11/15
1.09,8/28/16
1.09,10/6/16
1.09,7/29/19
1.09,8/5/15
1.09,10/23/15
1.09,8/12/20
1.09,9/28/21
1.09,7/4/15
1.09,11/10/16
1.09,9/19/22
1.08,7/9/24
1.08,11/3/18
1.08,9/1/24
1.08,8/17/18
1.08,11/12/18
1.08,8/30/24
1.08,8/27/15
1.08,8/11/20
1.08,9/7/24
1.08,10/23/21
1.08,1/24/24
1.08,8/24/15
1.08,9/4/18
1.08,9/29/18
1.08,10/8/18
1.08,10/11/18
1.08,10/14/18
1.08,10/25/18
1.08,7/14/20
1.08,7/17/20
1.08,6/24/21
1.08,9/14/24
1.08,9/18/24
1.08,9/19/24
1.08,9/25/24
1.08,9/19/15
1.08,7/10/19
1.08,8/17/20
1.08,9/3/20
1.08,11/25/15
1.08,9/9/16
1.08,10/1/17
1.08,10/23/17
1.08,10/26/17
1.08,8/31/18
1.08,9/5/18
1.08,11/17/18
1.08,7/18/19
1.08,11/28/19
1.08,7/25/20
1.08,10/17/22
1.08,8/18/15
1.08,11/7/15
1.08,10/21/16
1.08,11/18/17
1.08,8/2/19
1.08,9/1/19
1.08,10/24/19
1.08,10/26/19
1.08,11/14/19
1.08,12/8/19
1.08,8/2/20
1.08,9/15/15
1.08,2/23/17
1.08,11/13/19
1.08,11/28/19
1.08,9/14/20
1.08,6/26/23
1.08,6/25/15
1.08,7/15/15
1.08,11/30/15
1.08,4/15/16
1.08,10/1/22
1.08,9/3/22
1.08,9/24/17
1.08,9/12/22
1.08,10/3/22
1.08,10/8/22
1.08,8/13/16
1.07,5/17/15
1.07,5/19/15
1.07,11/19/18
1.07,11/12/15
1.07,11/20/18
1.07,9/29/20
1.07,8/30/20
1.07,8/7/24
1.07,9/29/24
1.07,12/6/16
1.07,12/14/16
1.07,7/25/18
1.07,8/5/18
1.07,9/28/23
1.07,6/19/24
1.07,8/25/15
