,ADDRESS_NORM,SUM_SEDIMENT,SUM_BIOLOGICAL_GROWTH,SUM_DEBRIS_INSECTS,SUM_RODENT_BIRD,SUM_COLIFORM,SUM_ECOLI,ADDRESS,LATITUDE,LONGITUDE,ZIP,# of Tanks,CENSUS_TRACT,# OF VIOLATIONS
0,1 centre street,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,1 centre street,40.713001,-74.004181,10007,4,29,1
1,100 centre street,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,100 Centre street,40.716084,-74.001425,10013,2,29,1
2,100 dreiser loop,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,100 Dreiser Loop,40.878155,-73.82813,10475,1,46201,2
3,1020 fifth avenue,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,1020 Fifth Avenue,40.779558,-73.961531,10028,1,142,2
4,1056 fifth avenue,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,1056 Fifth Avenue,40.782107,-73.959988,10028,1,15002,2
5,108 west 39th st,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,108 West 39th St,40.753173,-73.986075,10018,1,113,1
6,111 john st,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,111 John St,40.707671,-74.005764,10038,2,1502,1
7,1118 grand concourse,Violation,Meets standards,Violation,Violation,Meets standards,Meets standards,1118 Grand Concourse,40.832232,-73.919655,10456,1,18102,4
8,121 west 27th st,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,121 West 27th St,40.745831,-73.991916,10001,1,95,2
9,1220 fifth avenue,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,1220 Fifth Avenue,40.792438,-73.952448,10029,1,168,2
10,125 worth street,Violation,Violation,Violation,Violation,Meets standards,Meets standards,125 worth street,40.715428,-74.002673,10013,1,31,4
11,136 east 57 street,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,136 East 57 Street,40.760822,-73.968898,10022,1,11203,1
12,138 willoughby street,Violation,Meets standards,Violation,Meets standards,Violation,Meets standards,138 Willoughby Street,40.692069,-73.983135,11201,5,15,2
