Sample Number,Sample Date,Sample Time,Sample Site,Sample class,Residual Free Chlorine (mg/L),Turbidity (NTU),Fluoride (mg/L),Coliform (Quanti-Tray) (MPN /100mL),E.coli(Quanti-Tray) (MPN/100mL)
202410650,4/25/24,8:15,1S03A,Operational,0.75,0.86,<0.30,<1,<1
202410652,4/25/24,9:30,1SCH3,Operational,0.59,0.95,<0.30,<1,<1
202410653,4/25/24,9:41,1SCL1,Operational,0.53,0.94,<0.30,<1,<1
202410738,4/26/24,10:04,1SCL1,Operational,0.54,0.92,<0.30,<1,<1
201518775,8/3/15,11:11,1S03A,Operational,0.94,0.75,<0.3,<1,<1
201518882,8/4/15,12:03,77650,Compliance,0.32,0.49,<0.3,<1,<1
201532255,12/23/15,12:17,1SCL1,Operational,0.98,0.68,<0.3,<1,<1
201532361,12/24/15,11:25,1SCL1,Operational,0.93,0.53,<0.3,<1,<1
201532444,12/25/15,10:21,1SCL1,Operational,0.74,0.33,<0.3,<1,<1
201532519,12/26/15,11:26,1SCL1,Operational,0.89,0.44,<0.3,<1,<1
201532587,12/27/15,9:57,1SCL1,Operational,0.96,0.33,<0.3,<1,<1
201532899,12/30/15,10:37,1SCH4,Operational,0.49,0.31,<0.3,<1,<1
201533033,12/31/15,11:13,1SCH4,Operational,0.63,0.34,<0.3,<1,<1
201633042,1/1/16,10:12,1SCH4,Operational,0.62,0.11,<0.3,<1,<1
201633115,1/2/16,9:25,1SCH4,Operational,0.54,0.22,<0.3,<1,<1
201633185,1/3/16,11:34,1SCH4,Operational,0.72,0.11,<0.3,<1,<1
201633254,1/4/16,12:01,1SCH4,Operational,0.63,0.12,<0.3,<1,<1
201633338,1/5/16,11:15,1SCL1,Operational,1.27,0.21,<0.3,<1,<1
201633339,1/5/16,11:03,1SCH4,Operational,0.65,0.11,<0.3,<1,<1
201633352,1/5/16,12:16,3SC26,Operational,0.21,0.14,<0.3,<1,<1
201635520,1/28/16,12:39,1SCH4,Operational,0.64,0.87,<0.3,<1,<1
202428847,10/31/24,1899-12-31T10:58:00.000,1S02B,Operational,0.73,0.64,1,<1,<1
202428848,10/31/24,1899-12-31T08:38:00.000,1S03,Operational,0.7,0.64,1,<1,<1
202428859,10/31/24,1899-12-31T09:07:00.000,1S03A,Operational,0.95,0.73,1,<1,<1
202428860,10/31/24,1899-12-31T09:37:00.000,1S03B,Operational,0.54,0.2,1,<1,<1
202428849,10/31/24,1899-12-31T09:10:00.000,1SCH3,Operational,0.63,0.15,1,<1,<1
202428850,10/31/24,1899-12-31T10:05:00.000,1SCHA,Operational,0.69,0.15,1,<1,<1
202428851,10/31/24,1899-12-31T09:22:00.000,1SCL1,Operational,0.94,0.21,1,<1,<1
202419342,7/22/24,9:55,1S03B,Operational,0.72,0.62,1,<1,<1
202417845,7/6/24,11:21,1S03A,Operational,1.04,0.86,1,<1,<1
202419085,7/19/24,10:55,1SCH3,Operational,0.66,0.64,1,<1,<1
202417299,7/1/24,9:50,1SCH3,Operational,0.72,0.74,1,<1,<1
202418679,7/15/24,9:11,1S03A,Operational,1.09,0.74,1,<1,<1
202419505,7/24/24,10:21,1S03B,Operational,0.84,0.83,1,<1,<1
202418894,7/17/24,10:04,1SCH3,Operational,0.7,0.68,1,<1,<1
202417645,7/4/24,10:44,1S03B,Operational,0.82,0.74,1,<1,<1
202418212,7/10/24,9:00,1SCL1,Operational,0.7,0.82,1,<1,<1
202418419,7/12/24,10:20,1S03,Operational,0.83,0.71,1,<1,<1
202418007,7/8/24,11:03,1SCH3,Operational,0.72,0.77,1,<1,<1
202417402,7/2/24,11:00,1S03B,Operational,0.83,0.68,1,<1,<1
202417848,7/6/24,9:06,1SCL1,Operational,0.72,0.7,1,<1,<1
202419344,7/22/24,11:03,1SCL1,Operational,0.71,0.62,1,<1,<1
202417774,7/5/24,9:25,1SCH3,Operational,0.87,0.91,1,<1,<1
202417343,7/2/24,10:16,22250,Compliance,0.63,0.66,1,<1,<1
202419411,7/23/24,9:38,1SCH3,Operational,0.71,0.72,1,<1,<1
202419181,7/20/24,10:43,1SCL1,Operational,0.72,0.73,1,<1,<1
202417548,7/3/24,10:07,1SCH3,Operational,0.88,0.74,1,<1,<1
202417389,7/2/24,9:59,51450,Compliance,0.61,0.7,1,<1,<1
202419412,7/23/24,9:53,1SCL1,Operational,0.71,0.7,1,<1,<1
202417644,7/4/24,11:25,1S03A,Operational,0.96,0.7,1,<1,<1
202418591,7/14/24,11:13,1S03A,Operational,0.99,0.73,1,<1,<1
202417846,7/6/24,10:14,1S03B,Operational,0.76,0.69,1,<1,<1
202418006,7/8/24,9:59,1S03B,Operational,0.76,0.81,1,<1,<1
202417367,7/2/24,9:46,31050,Compliance,0.41,0.73,1,<1,<1
202419083,7/19/24,9:07,1S03A,Operational,0.91,0.69,1,<1,<1
202418513,7/13/24,9:45,1S03B,Operational,0.74,0.68,1,<1,<1
202417405,7/2/24,9:37,31650,Compliance,0.33,0.8,1,<1,<1
202417646,7/4/24,9:54,1SCH3,Operational,0.81,0.72,1,<1,<1
202417408,7/2/24,11:05,3SC26,Operational,0.67,0.67,1,<1,<1
202419086,7/19/24,11:05,1SCL1,Operational,0.69,0.74,1,<1,<1
202417918,7/7/24,10:35,1S03,Operational,0.72,0.66,1,<1,<1
202417498,7/3/24,10:44,1S03B,Operational,0.79,0.68,1,<1,<1
202418108,7/9/24,11:15,1SCH3,Operational,0.67,0.69,1,<1,<1
202417390,7/2/24,10:42,57750,Compliance,0.21,0.67,1,<1,<1
202418844,7/17/24,8:59,1S07,Operational,0.78,0.67,1,<1,<1
202417772,7/5/24,11:25,1S03A,Operational,0.93,0.78,1,<1,<1
202418944,7/18/24,11:24,1SCL1,Operational,0.7,0.67,1,<1,<1
202417344,7/2/24,9:18,26850,Compliance,0.61,0.68,1,<1,<1
202417355,7/2/24,10:03,1SCL1,Operational,0.77,0.63,1,<1,<1
202419503,7/24/24,10:55,1S03,Operational,0.95,0.75,1,<1,<1
202419267,7/21/24,11:07,1SCL1,Operational,0.71,0.63,1,<1,<1
202418893,7/17/24,9:24,1S03,Operational,0.77,0.6,1,<1,<1
202417296,7/1/24,9:09,1S03,Operational,0.85,0.74,1,<1,<1
202417349,7/2/24,8:33,1S07,Operational,0.76,0.64,1,<1,<1
202417643,7/4/24,9:17,1S03,Operational,0.79,0.78,1,<1,<1
202419409,7/23/24,10:31,1S03,Operational,0.8,0.65,1,<1,<1
202417298,7/1/24,10:42,1S03B,Operational,0.72,0.67,1,<1,<1
202418758,7/16/24,11:18,1SCH3,Operational,0.69,0.65,1,<1,<1
202419180,7/20/24,10:33,1SCH3,Operational,0.69,0.86,1,<1,<1
202419341,7/22/24,8:54,1S03A,Operational,0.9,0.64,1,<1,<1
202417847,7/6/24,8:56,1SCH3,Operational,0.74,0.75,1,16.4,<1
202418209,7/10/24,9:30,1S03,Operational,0.86,0.86,1,<1,<1
202417376,7/2/24,8:47,46150,Compliance,0.1,0.65,1,<1,<1
