,KIT ID Number,Borough,AVG % of limit in overlimit samples,AVG lead levels in over-limit samples,AVG lead level in zip,# of samples over limit in zip,Count of samples,Zipcode,Date Collected,Received Date,Percent over limit,First Draw at-the-tap Lead level (µg/l),First Draw at-the-tap copper level (mg/l)
22,20170102,BROOKLYN,733.3%,22,5.37,3,100,11234,6/5/20,6/8/20,106.70%,16,0.129
28,20169863,QUEENS,1141.2%,262.4782609,48.57352941,23,136,11358,6/5/20,6/9/20,160.00%,24,0.103
32,20169903,QUEENS,1200.0%,60,27.0,5,14,11373,6/5/20,6/15/20,246.70%,37,0.193
41,20169959,QUEENS,4400.0%,44,4.171052632,1,76,11361,6/6/20,6/9/20,293.30%,44,0.104
60,20169776,BROOKLYN,215.2%,34.4375,13.46428571,16,56,11228,6/6/20,6/9/20,140.00%,21,0.155
78,20170072,STATEN ISLAND,1140.6%,91.25,3.94140625,8,256,10306,6/7/20,6/10/20,120.00%,18,0.157
155,20169885,STATEN ISLAND,237.3%,35.6,2.575667656,15,337,10309,6/9/20,6/11/20,260.00%,39,0.103
165,20169815,QUEENS,1296.0%,64.8,11.16949153,5,59,11379,6/10/20,6/15/20,753.30%,113,0.199
168,20169828,STATEN ISLAND,250.8%,40.125,3.742063492,16,252,10312,6/10/20,6/15/20,580.00%,87,0.102
188,20169789,STATEN ISLAND,425.0%,25.5,8.538461538,6,39,10301,6/11/20,6/15/20,140.00%,21,0.1
192,20170139,BROOKLYN,677.8%,20.33333333,6.846153846,3,39,11223,6/11/20,6/16/20,140.00%,21,0.102
206,20169801,STATEN ISLAND,237.3%,35.6,2.575667656,15,337,10309,6/12/20,6/17/20,140.00%,21,0.375
208,20170067,BROOKLYN,4200.0%,42,6.25,1,16,11236,6/13/20,6/17/20,280.00%,42,0.131
227,20169954,QUEENS,355.6%,21.33333333,6.157142857,6,70,11354,6/15/20,6/19/20,133.30%,20,0.057
234,20170051,BROOKLYN,215.2%,34.4375,13.46428571,16,56,11228,6/15/20,6/17/20,213.30%,32,0.466
264,20169697,STATEN ISLAND,784.0%,39.2,3.983333333,5,60,10305,6/18/20,6/22/20,113.30%,17,0.076
270,20169813,BROOKLYN,733.3%,22,5.37,3,100,11234,6/19/20,6/24/20,120.00%,18,0.114
305,20170017,QUEENS,1600.0%,16,7.368421053,1,19,11374,6/25/20,6/30/20,100.00%,15,0.005
312,20169771,BROOKLYN,568.0%,28.4,9.761904762,5,42,11229,6/26/20,6/30/20,106.70%,16,0.125
314,20170092,BROOKLYN,3800.0%,38,5.68,1,25,11231,6/28/20,7/2/20,253.30%,38,0.172
315,20169709,BROOKLYN,1316.3%,92.14285714,34.13043478,7,23,11225,6/28/20,7/9/20,800.00%,120,0.64
318,20170002,BROOKLYN,733.3%,22,5.37,3,100,11234,6/29/20,7/13/20,100.00%,15,0.059
321,20170098,BROOKLYN,1550.0%,31,6.848484848,2,33,11204,6/30/20,7/9/20,306.70%,46,0.05
331,20170111,BROOKLYN,215.2%,34.4375,13.46428571,16,56,11228,7/7/20,7/9/20,406.70%,61,0.147
335,20169899,BROOKLYN,2600.0%,26,6.333333333,1,18,11210,7/8/20,7/17/20,173.30%,26,0.304
344,20170058,QUEENS,1141.2%,262.4782609,48.57352941,23,136,11358,7/14/20,7/16/20,686.70%,103,0.168
345,20170050,BROOKLYN,1433.3%,43,8.08,3,25,11209,7/16/20,7/20/20,260.00%,39,0.137
355,20169821,QUEENS,852.0%,42.6,7.821428571,5,84,11375,7/26/20,7/30/20,473.30%,71,0.147
371,20169909,QUEENS,1141.2%,262.4782609,48.57352941,23,136,11358,8/8/20,8/14/20,240.00%,36,0.178
390,20170068,QUEENS,2300.0%,115,16.62162162,5,37,11415,8/29/20,9/8/20,113.30%,17,0.246
445,21180065,Staten Island,288.2%,34.58333333,9.278688525,12,61,10304,6/16/21,6/22/21,160.00%,24,0.158
