BOROUGH,ADDRESS,ZIP,TANK_NUM,INSPECTION_DATE,INTERNAL_STRUCTURE,EXTERNAL_STRUCTURE,SEDIMENT,BIOLOGICAL_GROWTH,DEBRIS_INSECTS,RODENT_BIRD,COLIFORM,ECOLI,MEET_STANDARDS,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT
MANHATTAN,230 West 105th Street,10025,1,7/31/20,N,N,N,N,N,N,N,N,,40.800247,-73.967377,7,7,191
MANHATTAN,124 West 79th Street,10024,1,10/16/23,N,N,N,N,N,N,N,N,,40.782329,-73.976403,7,6,165
MANHATTAN,50 WEST   17 STREET,10011,1,6/6/20,N,N,N,N,N,N,N,N,Y,40.738585,-73.99384,5,3,54
MANHATTAN,25 East 86th Street,10028,1,9/28/23,N,N,N,N,N,N,N,N,,40.781102,-73.959378,8,4,15002
MANHATTAN,695 Park Avenue,10065,3,6/16/22,N,N,N,N,N,N,N,N,,40.768973,-73.965367,8,4,120
MANHATTAN,505 5th Avenue,10017,2,11/12/22,N,N,N,N,N,N,N,N,,40.753663,-73.980744,5,4,94
MANHATTAN,321 East 44th Street,10017,1,12/8/23,N,N,N,N,N,N,N,N,,40.750878,-73.970675,6,4,90
BROOKLYN,101 Johnson Street,11201,2,8/11/21,N,N,N,N,N,N,N,N,,40.69494,-73.986387,2,33,13
BROOKLYN,215 Cozine Avenue,11207,2,9/14/20,N,N,N,N,N,N,N,N,Y,40.655517,-73.884151,5,42,1106
MANHATTAN,325 North End Avenue,10282,2,9/1/21,N,N,N,N,N,N,N,N,,40.716637,-74.014754,1,1,31703
MANHATTAN,250 Broadway,10007,2,2/20/21,N,N,N,N,N,N,N,N,,40.712982,-74.007301,1,1,21
BRONX,3220 Fairfield Avenue,10463,1,12/30/20,N,N,N,N,N,N,N,N,,40.884844,-73.913472,8,11,297
MANHATTAN,540 Main Street,10044,1,11/13/24,N,N,N,N,N,N,N,N,,40.761608,-73.94986,8,5,23801
MANHATTAN,99 Madison Avenue,10016,1,12/10/22,N,N,N,N,N,N,N,N,,40.74476,-73.985135,5,2,74
MANHATTAN,160 Madison Street,10002,1,6/5/23,N,N,N,N,N,N,N,N,,40.712488,-73.991924,3,1,6
MANHATTAN,1407 Broadway,10018,1,3/17/21,N,N,N,N,N,N,N,N,,40.753439,-73.987151,5,3,113
MANHATTAN,845 Second Avenue,10017,1,12/5/22,N,N,N,N,N,N,N,N,,40.751902,-73.970704,6,4,90
MANHATTAN,2 BEEKMAN PLACE,10022,1,10/19/21,N,N,N,N,N,N,N,N,,40.75288,-73.965152,6,4,8603
MANHATTAN,620 EIGHTH AVENUE,10018,1,4/13/21,N,N,N,N,N,N,N,N,,40.756039,-73.990651,5,3,113
BROOKLYN,135 Eastern Parkway,11238,1,6/26/24,N,N,N,N,N,N,N,N,,40.672162,-73.964289,8,35,215
MANHATTAN,331 East 70th Street,10021,1,8/13/21,N,N,A,N,N,N,N,N,,40.766925,-73.95795,8,5,126
BRONX,1889 Sedgwick Avenue,10453,1,9/11/20,N,N,N,N,N,N,N,N,,40.854224,-73.917347,5,16,247
MANHATTAN,45708 TUDOR CITY PLACE,10017,2,2/15/23,N,N,N,N,N,N,N,N,,40.747985,-73.971265,6,4,88
MANHATTAN,286 Madison Avenue,10017,2,12/17/23,N,N,N,N,N,N,N,N,,40.751728,-73.980084,5,4,82
QUEENS,61-25 98th Street,11374,1,4/12/23,N,N,N,N,N,N,N,N,,40.734257,-73.860517,6,29,71702
MANHATTAN,266 East 78 Street,10075,1,8/11/22,N,N,N,N,N,N,N,N,,40.773007,-73.956404,8,4,134
MANHATTAN,333 EAST   30 STREET,10016,1,10/28/20,N,N,N,N,N,N,N,N,Y,40.741734,-73.976403,6,2,70
MANHATTAN,400 West 113th Street,10025,1,12/2/21,N,N,N,N,N,N,N,N,,40.804117,-73.960646,9,7,19701
MANHATTAN,40 East 78th Street,10075,1,5/17/24,N,N,N,N,N,N,N,N,,40.775496,-73.962306,8,4,142
MANHATTAN,23 WAVERLY PLACE,10003,1,11/24/20,N,N,N,N,N,N,N,N,,40.730645,-73.99444,2,1,59
MANHATTAN,25 Park Row,10038,2,3/8/23,N,N,N,N,N,N,N,N,,40.711601,-74.00742,1,1,1501
MANHATTAN,206 EAST   95 STREET,10128,1,6/15/20,N,N,N,N,N,N,N,N,Y,40.784167,-73.949016,8,5,15601
MANHATTAN,222 EAST 80 STREET,10075,1,10/26/21,N,N,N,N,N,N,N,N,,40.77467,-73.956114,8,5,138
MANHATTAN,22 East 38 Street,10016,1,1/14/20,N,N,N,N,N,N,N,N,,40.750177,-73.980897,6,4,82
MANHATTAN,440 West 34th Street,10001,1,7/17/23,N,N,N,N,N,N,N,N,,40.754022,-73.997842,4,3,103
MANHATTAN,601 West 115th Street,10025,1,11/20/24,N,N,N,N,N,N,N,N,,40.807423,-73.964571,9,7,205
MANHATTAN,50 West 34 Street,10001,1,10/15/24,N,N,N,N,N,N,N,N,,40.74936,-73.986773,5,4,76
MANHATTAN,1 Union Square South,10003,1,2/6/24,N,N,N,N,N,N,N,N,,40.733979,-73.989897,2,2,61
MANHATTAN,347 WEST   36 STREET,10018,1,3/14/20,N,N,N,N,N,N,N,N,Y,40.754063,-73.993875,4,3,111
MANHATTAN,1177 Avenue Of the Americas,10036,1,6/16/20,N,N,N,N,N,N,N,N,,40.757256,-73.982364,5,4,119
MANHATTAN,310 WEST 72 STREET,10023,1,11/29/22,N,N,N,N,N,N,N,N,,40.780002,-73.984965,7,6,159
MANHATTAN,2441 A C Powell Blvd,10030,1,7/24/23,N,N,N,N,N,N,N,N,,40.819809,-73.940401,10,9,232
MANHATTAN,425 East 25th Street,10010,1,6/8/21,N,N,N,N,N,N,N,N,,40.737878,-73.97688,6,4,62
MANHATTAN,150 WEST 22ND STREET,10011,1,6/4/22,N,N,N,N,N,N,N,N,,40.742834,-73.994735,4,3,87
MANHATTAN,235 West 76th Street,10023,1,11/29/22,N,N,N,N,N,N,N,N,,40.781948,-73.981512,7,6,163
MANHATTAN,165 East 112 Street,10029,1,7/25/23,N,N,N,N,N,N,N,N,,40.795788,-73.942766,11,8,182
MANHATTAN,29 West 38th Street,10018,1,6/12/21,N,N,N,N,N,N,N,N,,40.751443,-73.983845,5,4,84
MANHATTAN,45 Fairview Avenue,10040,1,6/17/21,N,N,N,N,N,N,N,N,,40.857413,-73.929432,12,10,283
MANHATTAN,300 WEST 55 STREET,10019,1,10/4/23,N,N,N,N,N,N,N,N,,40.765142,-73.984253,4,3,139
MANHATTAN,15 East 91 STREET,10128,1,9/11/24,N,N,N,N,N,N,N,N,,40.784401,-73.957329,8,4,16001
MANHATTAN,244 Fifth Avenue,10001,1,6/5/23,N,N,N,N,N,N,N,N,,40.744521,-73.987427,5,2,58
MANHATTAN,227 East 57th Street,10022,1,11/30/23,N,N,N,N,N,N,N,N,,40.759913,-73.966704,6,4,108
MANHATTAN,220 West 71st Street,10023,1,1/28/21,N,N,N,N,N,N,N,N,,40.778303,-73.982986,7,6,159
MANHATTAN,36 East 72 Street,10021,1,7/8/20,N,N,N,N,N,N,N,N,,40.771618,-73.965066,8,4,130
MANHATTAN,245 East 24th Street,10010,1,4/18/23,N,N,N,N,N,N,N,N,,40.738682,-73.980709,6,2,66
BRONX,1575 East 174 Street,10472,1,4/23/24,N,N,N,N,N,N,N,N,,40.833853,-73.877582,9,18,62
MANHATTAN,212 East 47th Street,10017,1,10/18/22,N,N,N,N,N,N,N,N,,40.753714,-73.971612,6,4,90
MANHATTAN,12 W 31st St,10001,1,6/5/20,N,N,N,N,N,N,N,N,Y,40.746838,-73.986683,5,4,76
QUEENS,28-07 Jackson Avenue,11101,1,6/29/21,N,N,N,N,N,N,N,N,,40.748434,-73.938768,2,26,19
MANHATTAN,27 West 86th Street,10024,1,4/12/22,N,N,N,N,N,N,N,N,,40.785879,-73.970703,7,6,173
