Kit ID,Borough,Zipcode,Date Received,% of samples over limit,Total samples in zip,# of samples over limit in zip,AVG lead levels in over-limit samples (ug/L),AVG % of limit in overlimit samples,,,
21285639,Brooklyn,11215,1/5/22,2.90%,1448,42,184,1225.00%,,,
21285611,Brooklyn,11238,12/30/21,3.41%,850,29,96,641.00%,,,
21285332,Manhattan,10025,12/20/21,2.25%,845,19,201,1342.00%,,,
21285524,Brooklyn,11201,1/4/22,1.23%,734,9,100,664.00%,,,
21279316,Brooklyn,11222,1/10/22,1.29%,699,9,45,301.00%,,,
21285590,Queens,11385,1/4/22,3.81%,682,26,195,1299.00%,,,
17246125,Manhattan,10024,1/12/22,1.34%,672,9,60,397.00%,,,
21285422,Brooklyn,11217,1/5/22,1.56%,639,10,50,333.00%,,,
21285470,Manhattan,10023,12/29/21,1.48%,610,9,108,719.00%,,,
21285030,Brooklyn,11218,1/4/22,3.70%,595,22,111,743.00%,,,
21285479,Brooklyn,11216,12/27/21,3.89%,592,23,88,585.00%,,,
21279165,Brooklyn,11231,12/29/21,2.31%,562,13,325,2168.00%,,,
21285428,Queens,11375,12/27/21,3.61%,554,20,66,441.00%,,,
21285139,Brooklyn,11226,12/16/21,3.25%,553,18,53,353.00%,,,
21284862,Brooklyn,11225,1/4/22,3.14%,509,16,456,3037.00%,,,
21285420,Brooklyn,11211,12/21/21,2.32%,475,11,106,707.00%,,,
21285363,Brooklyn,11209,1/3/22,3.64%,467,17,175,1168.00%,,,
21285307,Manhattan,10011,12/21/21,1.10%,456,5,55,364.00%,,,
21285160,Brooklyn,11221,12/27/21,6.28%,446,28,446,2976.00%,,,
21284849,Manhattan,10003,11/22/21,1.64%,428,7,2233,14889.00%,,,
21285551,Manhattan,10128,12/29/21,1.87%,427,8,76,503.00%,,,
21285100,Manhattan,10009,1/3/22,1.21%,412,5,32,211.00%,,,
21285154,Manhattan,10027,12/16/21,1.78%,393,7,42,278.00%,,,
21283420,Manhattan,10016,12/6/21,2.12%,377,8,73,487.00%,,,
21285162,Brooklyn,11230,12/20/21,3.21%,374,12,31,205.00%,,,
21285333,Queens,11372,12/23/21,2.45%,368,9,64,429.00%,,,
21285427,Manhattan,10002,1/4/22,2.56%,352,9,53,354.00%,,,
21285415,Brooklyn,11205,12/21/21,3.13%,351,11,692,4613.00%,,,
21285281,Manhattan,10019,12/21/21,1.15%,347,4,58,387.00%,,,
21285017,Brooklyn,11233,1/4/22,6.51%,338,22,107,712.00%,,,
21284081,Manhattan,10028,1/3/22,1.49%,336,5,38,251.00%,,,
21285482,Queens,11101,12/21/21,1.27%,314,4,22,145.00%,,,
21285626,Brooklyn,11229,1/7/22,3.88%,309,12,57,378.00%,,,
21285126,Manhattan,10014,12/20/21,2.61%,307,8,55,363.00%,,,
21285120,Queens,11106,12/23/21,3.29%,304,10,87,577.00%,,,
21285331,Brooklyn,11206,12/30/21,3.68%,299,11,69,462.00%,,,
21283175,Queens,11103,1/10/22,3.51%,285,10,165,1101.00%,,,
21285577,Queens,11377,12/27/21,2.11%,285,6,53,352.00%,,,
21285413,Manhattan,10033,12/23/21,2.46%,284,7,53,352.00%,,,
21284676,Brooklyn,11237,12/9/21,2.11%,284,6,55,363.00%,,,
21284602,Bronx,10463,11/15/21,4.44%,270,12,47,313.00%,,,
21284992,Queens,11105,12/15/21,3.02%,265,8,62,412.00%,,,
21285279,Brooklyn,11220,12/17/21,2.27%,264,6,51,340.00%,,,
21285093,Queens,11104,12/15/21,0.76%,262,2,23,150.00%,,,
21284752,Brooklyn,11234,12/7/21,8.49%,259,22,43,285.00%,,,
21285294,Manhattan,10013,12/17/21,1.93%,259,5,137,911.00%,,,
21285593,Manhattan,10032,12/30/21,2.36%,254,6,52,343.00%,,,
21285177,Brooklyn,11213,12/15/21,3.63%,248,9,33,218.00%,,,
21283466,Manhattan,10026,11/8/21,2.48%,242,6,50,336.00%,,,
21285194,Manhattan,10034,12/13/21,0.83%,241,2,70,463.00%,,,
21285170,Manhattan,10021,12/21/21,2.11%,237,5,24,161.00%,,,
21285142,Brooklyn,11214,12/13/21,2.20%,227,5,471,3137.00%,,,
21284234,Brooklyn,11249,1/13/22,1.34%,224,3,52,344.00%,,,
21283354,Queens,11102,1/4/22,2.71%,221,6,268,1786.00%,,,
21285048,Manhattan,10031,1/4/22,2.71%,221,6,67,447.00%,,,
21284919,Manhattan,10012,12/21/21,1.36%,221,3,60,398.00%,,,
21284448,Manhattan,10040,11/17/21,0.00%,219,0,No samples over limit,No samples over limit,,,
21284777,Manhattan,10029,1/3/22,1.39%,216,3,453,3020.00%,,,
21281546,Manhattan,10036,12/23/21,2.33%,215,5,140,933.00%,,,
21285521,Manhattan,10022,1/5/22,0.47%,214,1,40,267.00%,,,
21282496,Manhattan,10010,1/18/22,1.42%,211,3,98,656.00%,,,
21283935,Staten Island,10314,10/12/21,0.48%,210,1,16,107.00%,,,
21285633,Brooklyn,11235,1/3/22,3.41%,205,7,92,612.00%,,,
20271154,Brooklyn,11210,1/18/22,4.52%,199,9,45,301.00%,,,
21281240,Queens,11379,12/9/21,5.08%,197,10,1664,11093.00%,,,
21285235,Manhattan,10065,12/15/21,0.00%,197,0,No samples over limit,No samples over limit,,,
21285612,Queens,11373,1/4/22,0.51%,196,1,124,827.00%,,,
21285193,Brooklyn,11204,12/29/21,3.35%,179,6,58,388.00%,,,
21285240,Brooklyn,11223,12/20/21,5.14%,175,9,36,240.00%,,,
21284623,Staten Island,10306,11/16/21,5.36%,168,9,711,4740.00%,,,
21285087,Bronx,10467,12/20/21,1.23%,163,2,23,150.00%,,,
21285587,Queens,11358,1/4/22,6.79%,162,11,1582,10545.00%,,,
21285083,Manhattan,10075,12/8/21,1.85%,162,3,47,311.00%,,,
21284944,Manhattan,10001,12/3/21,0.62%,162,1,23,153.00%,,,
21278286,Bronx,10461,12/2/21,3.73%,161,6,38,253.00%,,,
21284671,Queens,11432,12/13/21,1.25%,160,2,113,750.00%,,,
21285426,Queens,11374,12/27/21,2.58%,155,4,139,923.00%,,,
21284957,Brooklyn,11228,11/29/21,2.60%,154,4,188,1250.00%,,,
21283531,Brooklyn,11207,10/5/21,2.68%,149,4,40,263.00%,,,
21285007,Queens,11355,12/8/21,2.01%,149,3,54,358.00%,,,
21284730,Brooklyn,11203,11/22/21,8.97%,145,13,90,598.00%,,,
21284447,Bronx,10462,11/29/21,2.78%,144,4,29,195.00%,,,
21284490,Staten Island,10301,12/3/21,4.32%,139,6,52,343.00%,,,
21283548,Brooklyn,11219,12/20/21,1.44%,139,2,28,187.00%,,,
21283244,Brooklyn,11232,11/4/21,2.19%,137,3,196,1304.00%,,,
21284934,Queens,11378,11/26/21,4.41%,136,6,22,149.00%,,,
21285263,Manhattan,10017,12/23/21,3.76%,133,5,60,401.00%,,,
21284624,Queens,11368,12/3/21,3.05%,131,4,53,355.00%,,,
21284311,Queens,11361,11/12/21,9.30%,129,12,64,423.00%,,,
21285545,Manhattan,10038,12/29/21,0.00%,126,0,No samples over limit,No samples over limit,,,
21283207,Queens,11367,9/17/21,2.44%,123,3,60,398.00%,,,
21284324,Queens,11434,11/5/21,5.00%,120,6,47,316.00%,,,
